"species"	"reg"
"Drosophila_nr_basimacul"	"Leaf"
"Drosophila_nr_basimacul"	"Leaf"
"Drosophila_nr_basimacul"	"Leaf"
"Drosophila_nr_brunneise"	"Leaf"
"Drosophila_nr_dorsigera"	NA
"Drosophila_nr_expansa_1"	"Leaf"
"Drosophila_nr_fundita"	"Leaf"
"Drosophila_nr_hirtitars"	NA
"Drosophila_nr_humeralis"	NA
"Drosophila_nr_melanoped"	NA
"Drosophila_nr_perissopo"	"Leaf"
"Drosophila_nr_perissopo"	"Leaf"
"Drosophila_nr_perissopo"	"Leaf"
"Drosophila_nr_perissopo"	"Leaf"
"Drosophila_nr_perissopo"	"Leaf"
"Drosophila_oahuensis"	NA
"Drosophila_obatai"	"Bark"
"Drosophila_obscuripes"	NA
"Drosophila_ochrobasis"	"Generalist"
"Drosophila_ochropleura"	"Fungus"
"Drosophila_odontophallu"	"Bark"
"Drosophila_orphnopeza"	"Bark"
"Drosophila_orthofascia"	"Generalist"
"Drosophila_orthoptera"	"Leaf"
"Drosophila_paenehamifer"	"Bark"
"Drosophila_panoanoa"	NA
"Drosophila_papala"	"Bark"
"Drosophila_paraanthrax"	NA
"Drosophila_paracracens"	NA
"Drosophila_paucipuncta"	"Bark"
"Drosophila_paucitarsus"	NA
"Drosophila_paucula"	"Leaf"
"Drosophila_pectinitarsu"	"Leaf"
"Drosophila_pihulu"	NA
"Drosophila_pilimana"	"Bark"
"Drosophila_pilipa"	NA
"Drosophila_pohaka"	NA
"Drosophila_polita"	"Fungus"
"Drosophila_polliciforma"	NA
"Drosophila_poonia"	"Bark"
"Drosophila_primaeva"	"Bark"
"Drosophila_proceriseta"	NA
"Drosophila_propiofacies"	NA
"Drosophila_prostopalpis"	NA
"Drosophila_pullipes"	"Bark"
"Drosophila_pychnochaeta"	NA
"Drosophila_quasianomali"	"Bark"
"Drosophila_quasiexpansa"	"Leaf"
"Drosophila_recticilia"	"Sap"
"Drosophila_scitula"	NA
"Drosophila_seclusa"	"Leaf"
"Drosophila_setosifrons"	"Bark"
"Drosophila_silvarentis"	"Sap"
"Drosophila_sobrina"	"Generalist"
"Drosophila_sodomae"	"Bark"
"Drosophila_soonae"	"Sap"
"Drosophila_sordidapex"	"Leaf"
"Drosophila_sp_KNM_4"	NA
"Drosophila_sp_KNMa"	NA
"Drosophila_stigma"	NA
"Drosophila_substenopter"	"Bark"
"Drosophila_systenopeza"	"Leaf"
"Drosophila_tetraspilota"	NA
"Drosophila_toxacantha"	"Bark"
"Drosophila_trichaetosa"	"Leaf"
"Drosophila_truncipenna"	NA
"Drosophila_turbata"	"Sap"
"Drosophila_variabilis"	"Leaf"
"Drosophila_vesciseta"	"Bark"
"Drosophila_williamsi"	"Leaf"
"Drosophila_xenophaga"	"Leaf"
"Drosophila_yooni"	"Leaf"
"Scaptomyza_abrupta"	NA
"Scaptomyza_albovittata"	NA
"Scaptomyza_ampliloba"	NA
"Scaptomyza_amplilobus"	NA
"Scaptomyza_anomala"	NA
"Scaptomyza_apicata"	NA
"Scaptomyza_apiciguttula"	"Generalist"
"Scaptomyza_bryani"	"Spider"
"Scaptomyza_buccata"	NA
"Scaptomyza_connata"	NA
"Scaptomyza_crassifemur"	NA
"Scaptomyza_ctenophora"	NA
"Scaptomyza_cuspidata"	"Generalist"
"Scaptomyza_cyrtandrae"	"Leaf"
"Scaptomyza_decepta"	NA
"Scaptomyza_dentata"	NA
"Scaptomyza_devexa"	NA
"Scaptomyza_elmoi"	NA
"Scaptomyza_fastigata"	NA
"Scaptomyza_flava"	"Leaf"
"Scaptomyza_flava6"	"Leaf"
"Scaptomyza_frustulifera"	NA
"Scaptomyza_hamata"	NA
"Scaptomyza_hsui"	NA
"Scaptomyza_inflatus"	NA
"Scaptomyza_lobifera"	NA
"Scaptomyza_longisetosa"	NA
"Scaptomyza_magnipalpa"	"Spider"
"Scaptomyza_nasalis"	NA
"Scaptomyza_neosilvicola"	"Spider"
"Scaptomyza_nigrita"	"Leaf"
"Scaptomyza_nigrosignata"	"Generalist"
"Scaptomyza_nr_anomala"	NA
"Scaptomyza_nr_cuspidata"	"Generalist"
"Scaptomyza_nr_decepta"	NA
"Scaptomyza_nr_inflatus"	NA
"Scaptomyza_nr_lonchopte"	NA
"Scaptomyza_nr_longipect"	NA
"Scaptomyza_nr_longiseto"	NA
"Scaptomyza_nr_longiseto"	NA
"Scaptomyza_nr_mitchelli"	NA
"Scaptomyza_nr_mitchelli"	NA
"Scaptomyza_palata"	NA
"Scaptomyza_pallida"	NA
"Scaptomyza_pallifrons"	NA
"Scaptomyza_palmae"	"Flower"
"Scaptomyza_pusilla"	NA
"Scaptomyza_recava"	NA
"Scaptomyza_recta"	NA
"Scaptomyza_reducta"	NA
"Scaptomyza_remota"	NA
"Scaptomyza_scoloplichas"	"Bark"
"Scaptomyza_setosiscutel"	"Spider"
"Scaptomyza_silvicola"	NA
"Scaptomyza_sp_akalae"	NA
"Scaptomyza_sp_Elmomyza"	NA
"Scaptomyza_sp_neocyrtan"	NA
"Scaptomyza_trivittata"	NA
"Scaptomyza_umbrosa"	NA
"Scaptomyza_undulata"	NA
"Scaptomyza_vagabunda"	NA
"Scaptomyza_varia"	"Generalist"
"Scaptomyza_varifrons"	NA
"Scaptomyza_varipicta"	"Generalist"
