"species"	"species2"	"author"	"group"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	25	12	300
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.7	188.5
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	23	11	253
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.44	14.526784	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.3	12.167	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	1.93	7.189057	NA	0.02156171851	0.4516	0.1068	0.002999241557	1.71	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	2.11	9.393931	NA	0.02198763648	0.4368	0.1094	0.002340621459	1.74	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	2.23	11.089567	NA	0.02244261494	0.4598	0.1078	0.002023759353	1.87	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	2.24	11.239424	NA	0.0235401404	0.462	0.1105	0.002094425871	1.83	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	2.17	10.218313	NA	0.02880616218	0.472	0.12075	0.002819072207	1.8	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	38	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	41	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	41	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	17	8.3	141.1
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	20	10.3	206
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	16	9.8	156.8
"Drosophila_hawaiiensis"	"Drosophila_hawaiiensis"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	38	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	39	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	42	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	46	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	2.32	12.487168	38	0.0213	0.427	0.109	0.001705751056	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	2.32	12.487168	44	0.02162	0.43875	0.108	0.001731377363	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	2.34	12.812904	39	0.02254	0.43767	0.11067	0.001759164043	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	2.49	15.438249	46	0.02488	0.4465	0.115	0.001611581728	NA	NA	NA	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA
"Drosophila_hemipeza"	"Drosophila_hemipeza"	"Sari"	"pna"	NA	NA	NA	NA	NA	NA	NA	NA	9	6.6	59.4
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	2.61	17.779581	40	0.02394	0.4485	0.11275	0.001346488424	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	2.59	17.373979	42	0.02442	0.449	0.11375	0.00140555022	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	2.79	21.717639	38	0.02461	0.444	0.115	0.001133180269	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	37	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	NA	NA	40	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	2.55	16.581375	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_heteroneura"	"Drosophila_heteroneura"	"Sari"	"pna"	2.54	16.387064	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_incognita"	"Drosophila_incognita"	"Sari"	"amc"	1.78	5.639752	6	0.085	0.52	0.98	0.01507158471	NA	NA	NA	NA
"Drosophila_incognita"	"Drosophila_incognita"	"Sari"	"amc"	1.75	5.359375	7	0.144	0.51	0.26	0.02686880466	NA	NA	NA	NA
"Drosophila_kambysellisi"	"Drosophila_kambysellisi"	"Kamb"	"mouth"	1.51	3.442951	15	0.0219	NA	NA	0.006360822446	NA	NA	NA	NA
"Drosophila_kualapa"	"Drosophila_kualapa"	"Sari"	"pna"	1.3	2.197	23	0.01342252032	0.414	0.088	0.006109476705	1.84	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Sari"	"pna"	3.21	33.076161	84	0.01378372499	0.4305	0.0785	0.0004167268683	1.27	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Sari"	"pna"	3.04	28.094464	83	0.01593384208	0.43525	0.0935	0.0005671523785	1.19	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Sari"	"pna"	3.1	29.791	96	0.01935669187	0.4354	0.10304	0.0006497496516	1.3	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Kamb"	"pna"	3.31	36.264691	86.6	0.0228	NA	NA	0.0006287107203	NA	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Sari"	"pna"	3.1	29.791	91	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_melanocephala"	"Drosophila_melanocephala"	"Sari"	"pna"	3.11	30.080231	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_micromyia"	"Drosophila_micromyia"	"Sari"	"pna"	1.6	4.096	33	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.807	5.900304943	27	0.0163975824	0.355	0.105	0.002779107615	0.49	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.83	6.128487	24	0.01776886855	0.36325	0.108	0.002899389123	0.55	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.698	4.895680392	25	0.01821947111	0.36575	0.109	0.003721540144	0.42	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Kamb"	"mouth"	1.78	5.639752	23.85	0.0188	NA	NA	0.003333479912	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.65	4.492125	20	0.02211669802	0.377	0.1182	0.004923437798	0.57	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.9	6.859	21	0.02895969918	0.3748	0.1358	0.004222145966	0.48	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.71	5.000211	18	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.73	5.177717	21	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.82	6.028568	23	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.78	5.639752	23	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.7	4.913	24	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.87	6.539203	25	NA	NA	NA	NA	NA	NA	NA	NA
